BranchAddress,JumpTarget,Taken
0x1048,0x1064,1
0x1064,0x2e60,0
0x1068,0x21b1,0
0x106c,0x24d2,0
0x1070,0x2b88,1
0x2b88,0x274c,1
0x274c,0x2694,0
0x2750,0x2974,1
0x2974,0x28af,0
0x2978,0x2b41,0
0x297c,0x2fc8,0
0x2980,0x2e7f,0
0x2984,0x2a4e,1
0x2a4e,0x2a39,1
0x2a39,0x239e,1
0x239e,0x29f5,1
0x29f5,0x20cb,1
0x20cb,0x2ba6,0
0x20cf,0x2df2,1
0x2df2,0x260a,0
0x2df6,0x2ac9,0
0x2dfa,0x2c05,0
0x2dfe,0x29de,1
0x29de,0x2a2b,1
0x2a2b,0x269b,0
0x2a2f,0x2d5c,0
0x2a33,0x2cda,0
0x2a37,0x2257,0
0x2a3b,0x2914,1
0x2914,0x215c,0
0x2918,0x29d2,0
0x291c,0x2a4d,0
0x2920,0x22b1,1
0x22b1,0x27ca,0
0x22b5,0x26a9,1
0x26a9,0x25e1,1
0x25e1,0x277d,1
0x277d,0x2015,0
0x2781,0x20b9,0
0x2785,0x2e95,1
0x2e95,0x2913,0
0x2e99,0x24a5,0
0x2e9d,0x292d,0
0x2ea1,0x2627,0
0x2ea5,0x2589,1
0x2589,0x2cf9,0
0x258d,0x2129,0
0x2591,0x2a46,0
0x2595,0x2d06,1
0x2d06,0x2fe9,0
0x2d0a,0x2aea,0
0x2d0e,0x2c52,0
0x2d12,0x2284,0
0x2d16,0x2c97,0
0x2d1a,0x2da6,1
0x2da6,0x2a26,0
0x2daa,0x224d,0
0x2dae,0x2f23,1
0x2f23,0x2a34,0
0x2f27,0x2d97,1
0x2d97,0x23ea,1
0x23ea,0x2cdc,0
0x23ee,0x21e1,0
0x23f2,0x2b1f,0
0x23f6,0x2f35,1
0x2f35,0x2b39,0
0x2f39,0x27fa,0
0x2f3d,0x269e,0
0x2f41,0x2aa8,1
0x2aa8,0x2644,0
0x2aac,0x22dc,0
0x2ab0,0x2357,1
0x2357,0x2ffe,0
0x235b,0x26f5,0
0x235f,0x2359,1
0x2359,0x2829,0
0x235d,0x208f,0
0x2361,0x2498,1
0x2498,0x237d,1
0x237d,0x2ff7,0
0x2381,0x2c72,0
0x2385,0x2297,0
0x2389,0x222f,0
0x238d,0x218a,0
0x2391,0x222f,0
0x2395,0x2430,0
0x2399,0x2acd,0
0x239d,0x2965,1
0x2965,0x2073,0
0x2969,0x2178,0
0x296d,0x2dc7,0
0x2971,0x2a4e,0
0x2975,0x2e9d,0
0x2979,0x26d5,1
0x26d5,0x2cbf,1
0x2cbf,0x2cd9,0
0x2cc3,0x27a9,1
0x27a9,0x2ad9,0
0x27ad,0x2f66,0
0x27b1,0x23a1,0
0x27b5,0x24b3,1
0x24b3,0x28a3,1
0x28a3,0x2f54,0
0x28a7,0x2bc5,1
0x2bc5,0x2109,0
0x2bc9,0x28a6,1
0x28a6,0x2c59,0
0x28aa,0x2cbf,0
0x28ae,0x213b,0
0x28b2,0x2e57,1
0x2e57,0x237f,0
0x2e5b,0x252d,1
0x252d,0x2e4d,0
0x2531,0x23bd,1
0x23bd,0x2cb3,1
0x2cb3,0x24c5,1
