PC,"Inst Name",Jump?,Jump Addr
0x100,"NOP",0,0x0
0x101,"JP $0150",1,0x150
0x102,"LD D,B",0,0x0
0x150,"DI",0,0x0
0x151,"LD D,A",0,0x0
0x152,"XOR A",0,0x0
0x153,"LD SP,$E000",1,0xE000
0x154,"NOP",0,0x0
0x156,"LD HL,$DFFF",1,0xDFFF
0x157,"RST $38",0,0x0
0x159,"LD C,$20",0,0x0
0x15A,"JR NZ,$0162  [+6]",1,0x162
0x15B,"LD B,$00",0,0x0
0x15C,"NOP",0,0x0
0x15D,"LD (HL-),A",0,0x0
0x15E,"DEC B",0,0x0
0x15F,"JR NZ,$015D  [-4]",1,0x15D
0x160,"[UNUSED]",0,0x0
0x161,"DEC C",0,0x0
0x162,"JR NZ,$015D  [-7]",1,0x15D
0x163,"LD SP,HL",0,0x0
0x164,"LD HL,$FFFF",1,0xFFFF
0x165,"RST $38",0,0x0
0x167,"LD B,$80",0,0x0
0x168,"ADD A,B",0,0x0
0x169,"LD (HL-),A",0,0x0
0x16A,"DEC B",0,0x0
0x16B,"JR NZ,$0169  [-4]",1,0x169
0x16C,"[UNUSED]",0,0x0
0x16D,"LD A,D",0,0x0
0x16E,"LD ($CEC2),A",1,0xCEC2
0x16F,"JP NZ,$CDCE",1,0xCDCE
0x171,"CALL $3153",1,0x3153
0x172,"LD D,E",0,0x0
0x3153,"LD A,($FF00+$40)  [LCDC]",0,0x0
0x3154,"LD B,B",0,0x0
0x3155,"ADD A,A",0,0x0
0x3156,"RET NC",0,0x0
0x3157,"LD A,($FF00+$44)  [LY]",0,0x0
0x3158,"LD B,H",0,0x0
0x3159,"CP $92",0,0x0
0x315A,"SUB D",0,0x0
0x315B,"JR NC,$3157  [-6]",1,0x3157
0x315C,"LD A,($44F0)",1,0x44F0
0x315D,"LD A,($FF00+$44)  [LY]",0,0x0
0x315E,"LD B,H",0,0x0
0x315F,"CP $91",0,0x0
0x3160,"SUB C",0,0x0
0x3161,"JR C,$315D  [-6]",1,0x315D
0x3162,"LD A,($40F0)",1,0x40F0
0x3163,"LD A,($FF00+$40)  [LCDC]",0,0x0
0x3164,"LD B,B",0,0x0
0x3165,"AND $7F",0,0x0
0x3166,"LD A,A",0,0x0
0x3167,"LD ($FF00+$40),A  [LCDC]",0,0x0
0x3168,"LD B,B",0,0x0
0x3169,"RET",0,0x0
0x316A,"LD A,$C0",0,0x0
0x174,"XOR A",0,0x0
0x175,"LD HL,$FE00",1,0xFE00
0x176,"NOP",0,0x0
0x178,"LD (HL),A",0,0x0
0x179,"DEC L",0,0x0
0x17A,"JR NZ,$0178  [-4]",1,0x178
0x17B,"[UNUSED]",0,0x0
0x17C,"LD ($FF00+$42),A  [SCY]",0,0x0
0x17D,"LD B,D",0,0x0
0x17E,"LD ($FF00+$43),A  [SCX]",0,0x0
0x17F,"LD B,E",0,0x0
0x180,"LD ($FF00+$41),A  [STAT]",0,0x0
0x181,"LD B,C",0,0x0
0x182,"LD ($FF00+$4A),A  [WY]",0,0x0
0x183,"LD C,D",0,0x0
0x184,"LD A,$07",0,0x0
0x185,"RLCA",0,0x0
0x186,"LD ($FF00+$4B),A  [WX]",0,0x0
0x187,"LD C,E",0,0x0
0x188,"LD BC,$FF80",1,0xFF80
0x189,"ADD A,B",0,0x0
0x18B,"LD HL,$316A",1,0x316A
0x18C,"LD L,D",0,0x0
0x18E,"LD B,$0A",0,0x0
0x18F,"LD A,(BC)",0,0x0
0x190,"LD A,(HL+)",0,0x0
0x191,"LD ($FF00+C),A",0,0x0
0x192,"INC C",0,0x0
0x193,"DEC B",0,0x0
0x194,"JR NZ,$0190  [-6]",1,0x190
0x195,"LD A,($2B01)",1,0x2B01
0x196,"LD BC,$312B",1,0x312B
0x197,"DEC HL",0,0x0
0x199,"CALL $30E3",1,0x30E3
0x19A,"[UNUSED]",0,0x0
0x30E3,"LD HL,$CECA",1,0xCECA
0x30E4,"JP Z,$C3CE",1,0xC3CE
0x30E6,"JP $3120",1,0x3120
0x30E7,"JR NZ,$311A  [+49]",1,0x311A
0x3120,"LD A,(HL+)",0,0x0
0x3121,"OR (HL)",0,0x0
0x3122,"JR Z,$3127  [+3]",1,0x3127
0x3123,"INC BC",0,0x0
0x3127,"LD (HL),B",0,0x0
0x3128,"DEC HL",0,0x0
0x3129,"LD (HL),C",0,0x0
0x312A,"RET",0,0x0
0x312B,"LD HL,$CEC8",1,0xCEC8
0x19C,"LD BC,$3174",1,0x3174
0x19D,"LD (HL),H",0,0x0
0x19F,"CALL $30F5",1,0x30F5
0x1A0,"PUSH AF",0,0x0
0x30F5,"LD HL,$CEFA",1,0xCEFA
0x30F6,"LD A,($C3CE)",1,0xC3CE
0x30F8,"JP $3120",1,0x3120
0x30F9,"JR NZ,$312C  [+49]",1,0x312C
0x1A2,"LD A,$E4",0,0x0
0x1A3,"[UNUSED]",0,0x0
0x1A4,"LD ($FF00+$47),A  [BGP]",0,0x0
0x1A5,"LD B,A",0,0x0
0x1A6,"LD ($FF00+$48),A  [OBP0]",0,0x0
0x1A7,"LD C,B",0,0x0
0x1A8,"LD A,$1B",0,0x0
0x1A9,"DEC DE",0,0x0
0x1AA,"LD ($FF00+$49),A  [OBP1]",0,0x0
0x1AB,"LD C,C",0,0x0
0x1AC,"LD A,$C0",0,0x0
0x1AD,"RET NZ",0,0x0
0x1AE,"LD ($FF00+$40),A  [LCDC]",0,0x0
0x1AF,"LD B,B",0,0x0
0x1B0,"XOR A",0,0x0
0x1B1,"LD ($FF00+$0F),A  [IF]",0,0x0
0x1B2,"RRCA",0,0x0
0x1B3,"LD A,$09",0,0x0
0x1B4,"ADD HL,BC",0,0x0
0x1B5,"LD ($FF00+$FF),A  [IE]",0,0x0
0x1B6,"RST $38",0,0x0
0x1B7,"XOR A",0,0x0
0x1B8,"LD ($FF00+$26),A  [NR52]",0,0x0
0x1B9,"LD H,$E0",0,0x0
0x1BA,"LD ($FF00+$02),A  [SC]",0,0x0
0x1BB,"LD (BC),A",0,0x0
0x1BC,"LD A,$66",0,0x0
0x1BD,"LD H,(HL)",0,0x0
0x1BE,"LD ($FF00+$01),A  [SB]",0,0x0
0x1BF,"LD BC,$803E",1,0x803E
0x1C0,"LD A,$80",0,0x0
0x1C1,"ADD A,B",0,0x0
0x1C2,"LD ($FF00+$02),A  [SC]",0,0x0
0x1C3,"LD (BC),A",0,0x0
0x1C4,"XOR A",0,0x0
0x1C5,"CALL $354C",1,0x354C
0x1C6,"LD C,H",0,0x0
0x354C,"LD HL,$C0AB",1,0xC0AB
0x354D,"XOR E",0,0x0
0x354F,"LD (HL),$00",0,0x0
0x3550,"NOP",0,0x0
0x3551,"LD HL,$C687",1,0xC687
0x3552,"ADD A,A",0,0x0
0x3554,"LD (HL),$00",0,0x0
0x3555,"NOP",0,0x0
0x3556,"LD HL,$C68F",1,0xC68F
0x3557,"ADC A,A",0,0x0
0x3559,"LD (HL),$00",0,0x0
0x355A,"NOP",0,0x0
0x355B,"INC HL",0,0x0
0x355C,"LD (HL),$00",0,0x0
0x355D,"NOP",0,0x0
0x355E,"LD HL,$C692",1,0xC692
0x355F,"SUB D",0,0x0
0x3561,"LD (HL),$00",0,0x0
0x3562,"NOP",0,0x0
0x3563,"LD HL,$C6A8",1,0xC6A8
0x3564,"XOR B",0,0x0
0x3566,"LD (HL),$10",0,0x0
0x3567,"STOP",0,0x0
0x3568,"LD HL,$C6B1",1,0xC6B1
0x3569,"OR C",0,0x0
0x356B,"LD (HL),$00",0,0x0
0x356C,"NOP",0,0x0
0x356D,"LD HL,$C6B7",1,0xC6B7
0x356E,"OR A",0,0x0
0x3570,"LD (HL),$00",0,0x0
0x3571,"NOP",0,0x0
0x3572,"LD HL,$C6D4",1,0xC6D4
0x3573,"CALL NC,$36C6",1,0x36C6
0x3575,"LD (HL),$00",0,0x0
0x3576,"NOP",0,0x0
0x3577,"LD HL,$C6D5",1,0xC6D5
0x3578,"PUSH DE",0,0x0
0x357A,"LD (HL),$00",0,0x0
0x357B,"NOP",0,0x0
0x357C,"LD HL,$C71E",1,0xC71E
0x357D,"LD E,$C7",0,0x0
0x357F,"LD (HL),$00",0,0x0
0x3580,"NOP",0,0x0
0x3581,"LD HL,$C738",1,0xC738
0x3582,"JR C,$354B  [-57]",1,0x354B
0x3584,"LD (HL),$FF",0,0x0
0x3585,"RST $38",0,0x0
0x3586,"LD HL,$C739",1,0xC739
0x3587,"ADD HL,SP",0,0x0
0x3589,"LD (HL),$00",0,0x0
0x358A,"NOP",0,0x0
0x358B,"LD HL,$C73A",1,0xC73A
0x358C,"LD A,(HL-)",0,0x0
0x358E,"LD (HL),$00",0,0x0
0x358F,"NOP",0,0x0
0x3590,"LD HL,$C73B",1,0xC73B
0x3591,"DEC SP",0,0x0
0x3593,"LD (HL),$3F",0,0x0
0x3594,"CCF",0,0x0
0x3595,"LD HL,$C8AA",1,0xC8AA
0x3596,"XOR D",0,0x0
0x3598,"LD (HL),$00",0,0x0
