PC,Inst Name,Jump?,Jump Addr
0x15A,"JR NZ,$0162  [+6]",1,0x162
0x15F,"JR NZ,$015D  [-4]",1,0x15D
0x162,"JR NZ,$015D  [-7]",1,0x15D
0x16B,"JR NZ,$0169  [-4]",1,0x169
0x16F,"JP NZ,$CDCE",1,0xCDCE
0x3156,RET NC,0,0x0
0x315B,"JR NC,$3157  [-6]",1,0x3157
0x3161,"JR C,$315D  [-6]",1,0x315D
0x17A,"JR NZ,$0178  [-4]",1,0x178
0x194,"JR NZ,$0190  [-6]",1,0x190
0x30E4,"JP Z,$C3CE",1,0xC3CE
0x30E7,"JR NZ,$311A  [+49]",1,0x311A
0x3122,"JR Z,$3127  [+3]",1,0x3127
0x30F9,"JR NZ,$312C  [+49]",1,0x312C
0x1AD,RET NZ,0,0x0
0x3573,"CALL NC,$36C6",1,0x36C6
0x3582,"JR C,$354B  [-57]",1,0x354B
0x368C,"JR NC,$36AF  [+33]",1,0x36AF
0x370B,"JR NZ,$36D9  [-52]",1,0x36D9
0x3733,"JR Z,$3701  [-52]",1,0x3701
0x375B,"JR NC,$3729  [-52]",1,0x3729
0x3783,"JR C,$3751  [-52]",1,0x3751
0x39EB,"JR Z,$3A10  [+35]",1,0x3A10
0x3A5A,RET NZ,0,0x0
0x3254,JP (HL),0,0x0
0xB07,"JP NZ,$7ECE",1,0x7ECE
0xB0C,"JR NZ,$0B11  [+3]",1,0xB11
0x2EDA,RET NZ,0,0x0
0x2EC9,"JR NC,$2EAB  [-32]",1,0x2EAB
0x30F3,"JR NZ,$3126  [+49]",1,0x3126
0xB28,RET C,0,0x0
0x320F,JP (HL),0,0x0
0x30EA,"JP C,$C3CE",1,0xC3CE
0x30ED,"JR NZ,$3120  [+49]",1,0x3120
0xB31,"JP NZ,$7ECE",1,0x7ECE
0xB36,"JR NZ,$0B3D  [+5]",1,0xB3D
0xB63,"JP NC,$49E0",1,0x49E0
0xBE1,"CALL NC,$77C6",1,0x77C6
0xBFA,"CALL Z,$36C6",1,0x36C6
0x34E7,"JR NZ,$34EE  [+5]",1,0x34EE
0x3505,"JR Z,$350E  [+7]",1,0x350E
0x351A,"JR NZ,$3516  [-6]",1,0x3516
0x3520,"JR NZ,$3516  [-12]",1,0x3516
0x3526,"JR Z,$3532  [+10]",1,0x3532
0x352A,"JR NZ,$352C  [+0]",1,0x352C
0x6788,RET NZ,0,0x0
0x230A,"JR NZ,$2307  [-5]",1,0x2307
0x33DD,"JR Z,$33E1  [+2]",1,0x33E1
0x33F8,"JR Z,$33FC  [+2]",1,0x33FC
0x3400,"JR NZ,$33FC  [-6]",1,0x33FC
0x340F,"JR NZ,$340B  [-6]",1,0x340B
0x341E,"JR NZ,$341A  [-6]",1,0x341A
0x342D,"JR NZ,$3429  [-6]",1,0x3429
0x343C,"JR NZ,$3438  [-6]",1,0x3438
0x344B,"JR NZ,$3447  [-6]",1,0x3447
0x3451,"JR NZ,$33F6  [-93]",1,0x33F6
0x7D9,"JR NZ,$0852  [+119]",1,0x852
0x67AE,"JP Z,$33F5",1,0x33F5
0x67CC,RET NZ,0,0x0
0x22E3,"JP NZ,$22B4",1,0x22B4
0x4E4,"JP NZ,$04B1",1,0x4B1
0xC0F,"JP Z,$0D3E",1,0xD3E
0x4D71,RET NC,0,0x0
0x4D7B,"JP NC,$36C6",1,0x36C6
0x4D85,"JP NZ,$7ECE",1,0x7ECE
0x4D8A,"JR NZ,$4D95  [+9]",1,0x4D95
0x4B17,"JR NZ,$4B43  [+42]",1,0x4B43
0x3349,"JR NZ,$3345  [-6]",1,0x3345
0x334C,"JR NZ,$3345  [-9]",1,0x3345
0xD42,"JP NC,$7EC6",1,0x7EC6
0xD46,"JR Z,$0D50  [+8]",1,0xD50
0x313F,RET NC,0,0x0
0x4D9F,"JP NC,$7EC6",1,0x7EC6
0x4DA3,RET Z,0,0x0
0x4DA5,RET NC,0,0x0
0x4DAC,"JP NZ,$4DF1",1,0x4DF1
0x4DB4,"JR NZ,$4DC6  [+16]",1,0x4DC6
0x4DCC,"JR NZ,$4DD3  [+5]",1,0x4DD3
0x4DD4,"JP NZ,$7ECE",1,0x7ECE
0x4DD9,"JR NZ,$4DE7  [+12]",1,0x4DE7
0x4B44,"CALL NC,$7EC6",1,0x7EC6
0x4B48,"JP Z,$4BFB",1,0x4BFB
